
2023/03/31 (21:33:24) | ===> btop++ v.1.2.13
2023/03/31 (21:33:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/03/31 (21:37:01) | ===> btop++ v.1.2.13
2023/03/31 (21:37:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/03/31 (21:38:42) | INFO: Logger set to INFO
2023/03/31 (21:38:42) | INFO: Logger set to DEBUG
2023/03/31 (21:38:43) | INFO: Logger set to INFO

2023/03/31 (21:39:06) | ===> btop++ v.1.2.13
2023/03/31 (21:39:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/04/03 (16:30:58) | ===> btop++ v.1.2.13
2023/04/03 (16:30:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2023/04/03 (16:31:47) | INFO: Logger set to INFO

2023/04/03 (16:31:55) | ===> btop++ v.1.2.13
2023/04/03 (16:31:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
